ts_event,price
2024-10-21 12:54:41.838180708+00:00,233.99
2024-10-21 12:54:42.700598912+00:00,233.93
2024-10-21 12:54:55.278148479+00:00,233.87
2024-10-21 12:54:55.278155149+00:00,233.86
2024-10-21 12:54:55.278183622+00:00,233.93
2024-10-21 12:54:55.278306742+00:00,233.9
2024-10-21 12:54:55.278317125+00:00,233.93
2024-10-21 12:54:55.278329008+00:00,233.94
2024-10-21 12:54:55.278547157+00:00,233.86
2024-10-21 12:54:55.282480083+00:00,233.9
2024-10-21 12:54:55.293445838+00:00,233.87
2024-10-21 12:54:55.293461222+00:00,233.93
2024-10-21 12:54:55.293478028+00:00,233.78
2024-10-21 12:54:55.293821520+00:00,233.93
2024-10-21 12:54:55.347519532+00:00,233.99
2024-10-21 12:54:55.376645110+00:00,233.78
2024-10-21 12:54:57.286006414+00:00,233.98
2024-10-21 12:54:58.232213590+00:00,233.78
2024-10-21 12:54:58.287022773+00:00,233.78
2024-10-21 12:54:58.287036014+00:00,233.81
2024-10-21 12:55:04.801390940+00:00,233.81
2024-10-21 12:55:04.801403945+00:00,233.78
2024-10-21 12:55:05.846852917+00:00,233.98
2024-10-21 12:55:07.137227591+00:00,233.89
2024-10-21 12:55:07.137227591+00:00,233.89
2024-10-21 12:55:07.137250126+00:00,233.96
2024-10-21 12:55:07.137254976+00:00,233.94
2024-10-21 12:55:07.137277247+00:00,233.94
2024-10-21 12:55:07.137292058+00:00,233.97
2024-10-21 12:55:07.137297701+00:00,233.78
2024-10-21 12:55:07.137299614+00:00,233.96
2024-10-21 12:55:07.208362599+00:00,233.75
2024-10-21 12:55:07.208409169+00:00,233.75
2024-10-21 12:55:07.208422476+00:00,233.73
2024-10-21 12:55:07.237336751+00:00,233.94
2024-10-21 12:55:07.237363330+00:00,233.97
2024-10-21 12:55:07.393764372+00:00,233.94
2024-10-21 12:55:09.549131905+00:00,233.97
2024-10-21 12:55:12.192189397+00:00,233.96
2024-10-21 12:55:12.209405788+00:00,233.73
2024-10-21 12:55:12.209418239+00:00,233.71
2024-10-21 12:55:12.300974358+00:00,233.72
2024-10-21 12:55:12.370199382+00:00,233.73
2024-10-21 12:55:13.264764014+00:00,233.74
