,ts_event,price
384,2024-10-21 12:26:25+00:00,234.01
385,2024-10-21 12:26:30+00:00,233.73
386,2024-10-21 12:26:35+00:00,
387,2024-10-21 12:26:40+00:00,233.97
388,2024-10-21 12:26:45+00:00,233.76
389,2024-10-21 12:26:50+00:00,233.76
390,2024-10-21 12:26:55+00:00,
391,2024-10-21 12:27:00+00:00,233.77
392,2024-10-21 12:27:05+00:00,233.77
393,2024-10-21 12:27:10+00:00,
394,2024-10-21 12:27:15+00:00,233.98
395,2024-10-21 12:27:20+00:00,233.99
396,2024-10-21 12:27:25+00:00,234.05
397,2024-10-21 12:27:30+00:00,234.41
398,2024-10-21 12:27:35+00:00,234.02
399,2024-10-21 12:27:40+00:00,234.38
400,2024-10-21 12:27:45+00:00,233.78
401,2024-10-21 12:27:50+00:00,233.81
402,2024-10-21 12:27:55+00:00,234.08
403,2024-10-21 12:28:00+00:00,
404,2024-10-21 12:28:05+00:00,
405,2024-10-21 12:28:10+00:00,233.86
406,2024-10-21 12:28:15+00:00,233.78
407,2024-10-21 12:28:20+00:00,233.79
408,2024-10-21 12:28:25+00:00,
409,2024-10-21 12:28:30+00:00,233.8
410,2024-10-21 12:28:35+00:00,233.78
411,2024-10-21 12:28:40+00:00,233.82
412,2024-10-21 12:28:45+00:00,233.82
413,2024-10-21 12:28:50+00:00,
414,2024-10-21 12:28:55+00:00,233.81
415,2024-10-21 12:29:00+00:00,233.76
416,2024-10-21 12:29:05+00:00,233.97
417,2024-10-21 12:29:10+00:00,233.97
418,2024-10-21 12:29:15+00:00,234.07
419,2024-10-21 12:29:20+00:00,
420,2024-10-21 12:29:25+00:00,233.79
421,2024-10-21 12:29:30+00:00,
422,2024-10-21 12:29:35+00:00,
423,2024-10-21 12:29:40+00:00,
424,2024-10-21 12:29:45+00:00,233.93
425,2024-10-21 12:29:50+00:00,233.98
426,2024-10-21 12:29:55+00:00,233.96
427,2024-10-21 12:30:00+00:00,233.96
428,2024-10-21 12:30:05+00:00,233.77
429,2024-10-21 12:30:10+00:00,233.68
430,2024-10-21 12:30:15+00:00,
431,2024-10-21 12:30:20+00:00,
432,2024-10-21 12:30:25+00:00,
433,2024-10-21 12:30:30+00:00,233.61
434,2024-10-21 12:30:35+00:00,233.93
435,2024-10-21 12:30:40+00:00,233.6
436,2024-10-21 12:30:45+00:00,
437,2024-10-21 12:30:50+00:00,233.61
438,2024-10-21 12:30:55+00:00,233.9
439,2024-10-21 12:31:00+00:00,233.68
440,2024-10-21 12:31:05+00:00,233.93
441,2024-10-21 12:31:10+00:00,233.66
442,2024-10-21 12:31:15+00:00,233.86
443,2024-10-21 12:31:20+00:00,233.97
444,2024-10-21 12:31:25+00:00,233.9
445,2024-10-21 12:31:30+00:00,233.91
446,2024-10-21 12:31:35+00:00,233.59
447,2024-10-21 12:31:40+00:00,233.65
448,2024-10-21 12:31:45+00:00,233.97
449,2024-10-21 12:31:50+00:00,233.9
450,2024-10-21 12:31:55+00:00,233.7
451,2024-10-21 12:32:00+00:00,233.97
452,2024-10-21 12:32:05+00:00,233.66
453,2024-10-21 12:32:10+00:00,233.82
454,2024-10-21 12:32:15+00:00,233.91
455,2024-10-21 12:32:20+00:00,233.91
456,2024-10-21 12:32:25+00:00,233.62
457,2024-10-21 12:32:30+00:00,
458,2024-10-21 12:32:35+00:00,233.9
459,2024-10-21 12:32:40+00:00,
460,2024-10-21 12:32:45+00:00,233.89
461,2024-10-21 12:32:50+00:00,
462,2024-10-21 12:32:55+00:00,233.64
463,2024-10-21 12:33:00+00:00,233.84
464,2024-10-21 12:33:05+00:00,233.82
465,2024-10-21 12:33:10+00:00,233.84
466,2024-10-21 12:33:15+00:00,233.65
467,2024-10-21 12:33:20+00:00,233.98
468,2024-10-21 12:33:25+00:00,233.63
469,2024-10-21 12:33:30+00:00,
470,2024-10-21 12:33:35+00:00,233.75
471,2024-10-21 12:33:40+00:00,233.64
472,2024-10-21 12:33:45+00:00,233.68
473,2024-10-21 12:33:50+00:00,233.67
474,2024-10-21 12:33:55+00:00,233.65
475,2024-10-21 12:34:00+00:00,233.9
476,2024-10-21 12:34:05+00:00,233.99
477,2024-10-21 12:34:10+00:00,233.65
478,2024-10-21 12:34:15+00:00,233.88
479,2024-10-21 12:34:20+00:00,233.88
480,2024-10-21 12:34:25+00:00,233.9
481,2024-10-21 12:34:30+00:00,233.92
482,2024-10-21 12:34:35+00:00,233.92
483,2024-10-21 12:34:40+00:00,233.9
484,2024-10-21 12:34:45+00:00,233.79
485,2024-10-21 12:34:50+00:00,233.9
486,2024-10-21 12:34:55+00:00,233.64
487,2024-10-21 12:35:00+00:00,233.91
488,2024-10-21 12:35:05+00:00,233.9
489,2024-10-21 12:35:10+00:00,233.91
490,2024-10-21 12:35:15+00:00,233.91
491,2024-10-21 12:35:20+00:00,233.8
492,2024-10-21 12:35:25+00:00,
493,2024-10-21 12:35:30+00:00,
494,2024-10-21 12:35:35+00:00,233.77
495,2024-10-21 12:35:40+00:00,
496,2024-10-21 12:35:45+00:00,233.6
497,2024-10-21 12:35:50+00:00,233.94
498,2024-10-21 12:35:55+00:00,233.7
499,2024-10-21 12:36:00+00:00,233.68
500,2024-10-21 12:36:05+00:00,234.0
501,2024-10-21 12:36:10+00:00,233.89
502,2024-10-21 12:36:15+00:00,
503,2024-10-21 12:36:20+00:00,
504,2024-10-21 12:36:25+00:00,
505,2024-10-21 12:36:30+00:00,
506,2024-10-21 12:36:35+00:00,
507,2024-10-21 12:36:40+00:00,233.68
508,2024-10-21 12:36:45+00:00,
509,2024-10-21 12:36:50+00:00,233.95
510,2024-10-21 12:36:55+00:00,233.95
511,2024-10-21 12:37:00+00:00,233.71
512,2024-10-21 12:37:05+00:00,233.66
513,2024-10-21 12:37:10+00:00,233.71
514,2024-10-21 12:37:15+00:00,233.94
515,2024-10-21 12:37:20+00:00,233.71
516,2024-10-21 12:37:25+00:00,233.71
517,2024-10-21 12:37:30+00:00,
518,2024-10-21 12:37:35+00:00,233.92
519,2024-10-21 12:37:40+00:00,233.7
520,2024-10-21 12:37:45+00:00,233.75
521,2024-10-21 12:37:50+00:00,233.94
522,2024-10-21 12:37:55+00:00,233.93
523,2024-10-21 12:38:00+00:00,233.7
524,2024-10-21 12:38:05+00:00,
525,2024-10-21 12:38:10+00:00,233.95
526,2024-10-21 12:38:15+00:00,233.69
527,2024-10-21 12:38:20+00:00,233.61
528,2024-10-21 12:38:25+00:00,233.86
529,2024-10-21 12:38:30+00:00,233.8
530,2024-10-21 12:38:35+00:00,233.62
531,2024-10-21 12:38:40+00:00,233.87
532,2024-10-21 12:38:45+00:00,
533,2024-10-21 12:38:50+00:00,233.62
534,2024-10-21 12:38:55+00:00,233.65
535,2024-10-21 12:39:00+00:00,234.02
536,2024-10-21 12:39:05+00:00,233.74
537,2024-10-21 12:39:10+00:00,233.87
538,2024-10-21 12:39:15+00:00,233.62
539,2024-10-21 12:39:20+00:00,233.69
540,2024-10-21 12:39:25+00:00,
541,2024-10-21 12:39:30+00:00,233.65
542,2024-10-21 12:39:35+00:00,233.62
543,2024-10-21 12:39:40+00:00,233.69
544,2024-10-21 12:39:45+00:00,
545,2024-10-21 12:39:50+00:00,
546,2024-10-21 12:39:55+00:00,
547,2024-10-21 12:40:00+00:00,233.7
548,2024-10-21 12:40:05+00:00,233.8
549,2024-10-21 12:40:10+00:00,
