ts_event,best_level_ofi
2024-10-21 12:10:59.771161194,-286.0
2024-10-21 12:11:00.807617417,286.0
2024-10-21 12:11:00.807657573,-286.0
2024-10-21 12:11:00.863155159,0.0
2024-10-21 12:11:02.807100841,0.0
2024-10-21 12:11:08.220315875,286.0
2024-10-21 12:11:08.291449117,-286.0
2024-10-21 12:11:08.292006615,0.0
2024-10-21 12:11:08.292044305,286.0
2024-10-21 12:11:10.442610415,-286.0
2024-10-21 12:11:10.454786222,286.0
2024-10-21 12:11:10.454836386,-286.0
2024-10-21 12:11:11.346234393,0.0
2024-10-21 12:11:18.869640062,286.0
2024-10-21 12:11:18.869653217,-286.0
2024-10-21 12:11:21.873343400,286.0
2024-10-21 12:11:21.873432987,-286.0
2024-10-21 12:11:21.928253749,0.0
2024-10-21 12:11:22.072355634,286.0
2024-10-21 12:11:22.072368471,-286.0
2024-10-21 12:11:22.072864187,286.0
2024-10-21 12:11:23.000862969,-286.0
2024-10-21 12:11:25.072916074,286.0
2024-10-21 12:11:25.072929618,-286.0
2024-10-21 12:11:25.073291984,286.0
2024-10-21 12:11:25.073388717,-286.0
2024-10-21 12:11:25.073972612,286.0
2024-10-21 12:11:25.074100004,-286.0
2024-10-21 12:11:25.129294511,0.0
2024-10-21 12:11:27.120005157,286.0
2024-10-21 12:11:27.120018111,-286.0
2024-10-21 12:11:27.120506757,286.0
2024-10-21 12:11:27.120548454,-286.0
2024-10-21 12:11:27.120650159,0.0
2024-10-21 12:11:27.120720548,286.0
2024-10-21 12:11:27.177529449,-286.0
2024-10-21 12:11:30.179103980,0.0
2024-10-21 12:11:34.156391256,286.0
2024-10-21 12:11:34.156403417,-286.0
2024-10-21 12:11:36.738675617,287.0
2024-10-21 12:11:37.210931791,-288.0
2024-10-21 12:11:40.138482175,288.0
2024-10-21 12:11:40.138496802,-288.0
2024-10-21 12:11:43.193475620,0.0
2024-10-21 12:11:45.843943302,288.0
2024-10-21 12:11:45.843955896,-288.0
2024-10-21 12:11:48.580722768,0.0
2024-10-21 12:11:48.598471411,288.0
2024-10-21 12:11:48.598514970,-288.0
2024-10-21 12:11:48.899046660,0.0
2024-10-21 12:11:50.834920978,288.0
2024-10-21 12:11:50.924089402,-288.0
2024-10-21 12:11:53.326572732,288.0
2024-10-21 12:11:53.326585955,-288.0
2024-10-21 12:11:56.382477901,0.0
2024-10-21 12:12:02.086529609,20.0
2024-10-21 12:12:02.213802116,20.0
2024-10-21 12:12:02.316648939,-20.0
2024-10-21 12:12:08.967185824,134.0
2024-10-21 12:12:08.996733815,0.0
2024-10-21 12:12:09.099739392,-288.0
2024-10-21 12:12:10.232691130,0.0
2024-10-21 12:12:22.882127538,288.0
2024-10-21 12:12:22.882140909,-288.0
2024-10-21 12:12:25.936845190,0.0
2024-10-21 12:12:28.133772380,0.0
2024-10-21 12:12:28.677449361,288.0
2024-10-21 12:12:28.677461375,-288.0
2024-10-21 12:12:31.318823338,288.0
2024-10-21 12:12:31.425804077,-288.0
2024-10-21 12:12:31.453857757,0.0
2024-10-21 12:12:31.678952187,288.0
2024-10-21 12:12:31.679008317,-288.0
2024-10-21 12:12:31.733377635,0.0
2024-10-21 12:12:41.238712131,0.0
2024-10-21 12:12:43.651347870,288.0
